SIZE,DURATION,MODE,TIME,MIN,MAX,N
60,7260,CPU,1.4653016328811646,1.4609990119934082,1.4749979972839355,10
60,7310,CPU,1.4817999839782714,1.474001169204712,1.4909965991973877,10
60,7360,CPU,1.4957000494003296,1.4829983711242676,1.5209965705871582,10
60,7410,CPU,1.5105000972747802,1.4930009841918945,1.542999029159546,10
60,7460,CPU,1.5108008623123168,1.5000081062316895,1.5209975242614746,10
60,7510,CPU,1.5296000480651855,1.511000156402588,1.5729987621307373,10
60,7560,CPU,1.5261998653411866,1.5179991722106934,1.5350000858306885,10
60,7610,CPU,1.53480007648468,1.531998872756958,1.544001579284668,10
60,7660,CPU,1.5493999242782592,1.5419998168945312,1.570000171661377,10
60,7710,CPU,1.5610549449920654,1.5525281429290771,1.5780010223388672,10
60,7760,CPU,1.5693006753921508,1.5610105991363525,1.5770022869110107,10
60,7810,CPU,1.5818002939224243,1.572998285293579,1.6039996147155762,10
60,7860,CPU,1.6005998134613038,1.583998680114746,1.6299998760223389,10
60,7910,CPU,1.6006001234054565,1.5900001525878906,1.6149988174438477,10
60,7960,CPU,1.6169533491134644,1.6019988059997559,1.6445353031158447,10
60,8010,CPU,1.6195008516311646,1.6120004653930664,1.6359984874725342,10
60,8060,CPU,1.6439000844955445,1.6269795894622803,1.6619997024536133,10
60,8110,CPU,1.6419031381607057,1.6319999694824219,1.6559998989105225,10
60,8160,CPU,1.6590999603271483,1.6419994831085205,1.6979985237121582,10
60,8210,CPU,1.6559021472930908,1.6490092277526855,1.663001298904419,10
60,8260,CPU,1.6680012464523315,1.6590030193328857,1.6809985637664795,10
60,8310,CPU,1.6846015214920045,1.6720008850097656,1.7049987316131592,10
60,8360,CPU,1.700800085067749,1.6820008754730225,1.7250032424926758,10
60,8410,CPU,1.7002206563949585,1.6910011768341064,1.7140002250671387,10
60,8460,CPU,1.7122015476226806,1.7010011672973633,1.7310006618499756,10
60,8510,CPU,1.7247999429702758,1.7119970321655273,1.7390012741088867,10
60,8560,CPU,1.7288002014160155,1.7209994792938232,1.7390007972717285,10
60,8610,CPU,1.7398030281066894,1.7320013046264648,1.7569992542266846,10
60,8660,CPU,1.750201153755188,1.7440013885498047,1.7699987888336182,10
60,8710,CPU,1.757701826095581,1.750999927520752,1.7730011940002441,10
60,8760,CPU,1.765500020980835,1.7600009441375732,1.7739992141723633,10
60,8810,CPU,1.782201337814331,1.7739999294281006,1.7940011024475098,10
60,8860,CPU,1.7977998733520508,1.7819998264312744,1.8149993419647217,10
60,8910,CPU,1.8024982690811158,1.792999505996704,1.8439981937408447,10
60,8960,CPU,1.8074040412902832,1.80100417137146,1.8180007934570312,10
60,9010,CPU,1.8169015884399413,1.8110027313232422,1.8299989700317383,10
60,9060,CPU,1.8276008129119874,1.8210008144378662,1.8450000286102295,10
60,9110,CPU,1.8400001049041748,1.8300020694732666,1.8710005283355713,10
60,9160,CPU,1.8462000370025635,1.8420007228851318,1.8559999465942383,10
100,10,CPU,0.01250009536743164,0.011998176574707031,0.014000892639160156,10
100,510,CPU,0.29069998264312746,0.2879984378814697,0.2999992370605469,10
100,1010,CPU,0.5665921449661255,0.5610020160675049,0.5769996643066406,10
100,1510,CPU,0.8500999927520752,0.8370010852813721,0.8649983406066895,10
100,2010,CPU,1.1260999679565429,1.1139986515045166,1.1390016078948975,10
100,2510,CPU,1.4066009283065797,1.390000343322754,1.4499993324279785,10
100,3010,CPU,1.6930003404617309,1.6740007400512695,1.7309999465942383,10
100,3510,CPU,1.9554006576538085,1.9260003566741943,2.0259907245635986,10
100,4010,CPU,2.231599974632263,2.2159998416900635,2.2710001468658447,10
100,4510,CPU,2.491311454772949,2.4759998321533203,2.5049996376037598,10
100,5010,CPU,2.791800832748413,2.76399564743042,2.8400001525878906,10
100,5510,CPU,3.0682531356811524,3.051999807357788,3.0819995403289795,10
100,6010,CPU,3.3576988220214843,3.333000898361206,3.4159979820251465,10
100,6510,CPU,3.63560004234314,3.591998815536499,3.6809980869293213,10
100,7010,CPU,3.9285339593887327,3.8949999809265137,3.977001190185547,10
100,7510,CPU,4.182352304458618,4.1400063037872314,4.260998725891113,10
100,8010,CPU,4.462851071357727,4.439001560211182,4.501997232437134,10
100,8510,CPU,4.726049780845642,4.704000949859619,4.75800085067749,10
100,9010,CPU,5.027300882339477,5.001997709274292,5.080998420715332,10
100,9510,CPU,5.286551070213318,5.2335121631622314,5.3610007762908936,10
30,10,CPU,0.0069999217987060545,0.006003141403198242,0.00799870491027832,10
30,510,CPU,0.032199859619140625,0.03199577331542969,0.03299903869628906,10
30,1010,CPU,0.05820000171661377,0.05699753761291504,0.05900001525878906,10
30,1510,CPU,0.08379993438720704,0.08299875259399414,0.08500099182128906,10
30,2010,CPU,0.10850012302398682,0.10799956321716309,0.10900068283081055,10
30,2510,CPU,0.13260679244995116,0.13111114501953125,0.1334986686706543,10
30,3010,CPU,0.15766923427581786,0.15599870681762695,0.15900015830993652,10
30,3510,CPU,0.18229539394378663,0.1809999942779541,0.18500018119812012,10
30,4010,CPU,0.20769875049591063,0.20600008964538574,0.20998764038085938,10
30,4510,CPU,0.2324012279510498,0.23099040985107422,0.23301315307617188,10
